Módulo;Nº;Prueba;Resultado;Notas
LEYENDA (borrar esta fila al usar);;Resultado: OK = funciona bien | A corregir = funciona con peros | No funciona = falla;;
Navegación;1;Acceder a la raíz (/) redirige a Entradas;;
Navegación;2;Menú: enlace a Gestión de Catálogo;;
Navegación;3;Menú: enlace a Productos;;
Navegación;4;Menú: enlace a Inventario;;
Navegación;5;Menú: enlace a Entradas;;
Navegación;6;Menú: enlace a Salidas;;
Navegación;7;Menú: enlace a Empresas;;
Navegación;8;Menú: enlace a Perfil;;
Navegación;9;Botón Cerrar sesión cierra y redirige a login;;
Login;10;Login con usuario y contraseña correctos;;
Login;11;Login con credenciales incorrectas muestra error;;
Login;12;Tras login redirige correctamente (o a cambiar contraseña si aplica);;
Login;13;Ruta protegida sin token redirige a login;;
Cambiar contraseña;14;Acceso a /cambiar-password (si obligatorio);;
Cambiar contraseña;15;Cambio de contraseña con datos correctos;;
Cambiar contraseña;16;Validación: contraseña actual incorrecta muestra error;;
Cambiar contraseña;17;Validación: contraseñas nuevas no coinciden;;
Perfil;18;Cargar página Perfil muestra datos del usuario;;
Perfil;19;Botón Cambiar contraseña abre formulario;;
Perfil;20;Volver al perfil desde cambiar contraseña;;
Perfil;21;Si must_change_password: badge y aviso visibles;;
Empresas;22;Listar empresas carga la tabla;;
Empresas;23;Botón Nueva Empresa abre modal;;
Empresas;24;Crear empresa con todos los campos;;
Empresas;25;Crear empresa: validación campos requeridos;;
Empresas;26;Editar empresa (icono lápiz) abre modal con datos;;
Empresas;27;Guardar cambios en empresa editada;;
Empresas;28;Eliminar empresa abre confirmación;;
Empresas;29;Confirmar eliminación quita empresa del listado (baja lógica);;
Cryptocustodios (Empresas);30;Botón Ver cryptocustodios (icono usuarios) abre modal;;
Cryptocustodios (Empresas);31;Modal muestra listado de cryptocustodios de la empresa;;
Cryptocustodios (Empresas);32;Añadir cryptocustodio: formulario y guardar;;
Cryptocustodios (Empresas);33;Editar cryptocustodio desde modal;;
Cryptocustodios (Empresas);34;Eliminar cryptocustodio con confirmación;;
Cryptocustodios (Empresas);35;Cerrar modal sin guardar;;
Productos - Catálogo;36;Listar productos en Gestión de Catálogo;;
Productos - Catálogo;37;Crear/editar producto en catálogo;;
Productos - Catálogo;38;Buscar o filtrar productos;;
Productos;39;Listado de productos (página Productos);;
